east,north,elev_m,serial,name,type,disposition,acres,status
262882.06,4665166.93,1857.6,ID103285406,CC #31,L,Closed,,CLOSED
263128.35,4664759.56,1904.3,ID103082021,CC #32,L,Closed,,CLOSED
262805.80,4664276.79,1938.4,ID103118075,CC #33,L,Closed,,CLOSED
263219.46,4664662.01,1927.5,ID103469173,CC #34,L,Closed,,CLOSED
262805.80,4664276.79,1938.4,ID103456152,CC #35,L,Closed,,CLOSED
263191.65,4664277.18,1964.8,ID103401283,CC #36,L,Closed,,CLOSED
263191.65,4664277.18,1964.8,ID103452884,CC #37,L,Closed,,CLOSED
263191.65,4664277.18,1964.8,ID103523936,CC #38,L,Closed,,CLOSED
263101.41,4663981.16,1984.7,ID103306750,CC #39,L,Closed,,CLOSED
263699.84,4664246.82,1992.2,ID102919871,CC #40,L,Closed,,CLOSED
263192.53,4663883.61,1989.8,ID103462602,CC #41,L,Closed,,CLOSED
263673.86,4663890.84,2048.2,ID103480891,CC #42,L,Closed,,CLOSED
263164.99,4663506.56,1999.5,ID103452576,CC #43,L,Closed,,CLOSED
263673.86,4663890.84,2048.2,ID103017007,CC #44,L,Closed,,CLOSED
263164.99,4663506.56,1999.5,ID103405289,CC #45,L,Closed,,CLOSED
263585.83,4663536.93,2016.9,ID103295603,CC #46,L,Closed,,CLOSED
263164.99,4663506.56,1999.5,ID103488867,CC #47,L,Closed,,CLOSED
263585.83,4663536.93,2016.9,ID103066950,CC #48,L,Closed,,CLOSED
263356.63,4663146.62,2044.1,ID103462978,CC #49,L,Closed,,CLOSED
264092.00,4663444.41,2075.1,ID103380669,CC #50,L,Closed,,CLOSED
263644.16,4663028.05,2041.2,ID103502458,CC #51,L,Closed,,CLOSED
263924.08,4663127.63,2069.5,ID103223305,CC #52,L,Closed,,CLOSED
263644.58,4662644.50,2094.2,ID103307714,CC #53,L,Closed,,CLOSED
264064.76,4663075.13,2098.2,ID103142613,CC #54,L,Closed,,CLOSED
263644.58,4662644.50,2094.2,ID103375050,CC #55,L,Closed,,CLOSED
264004.43,4662706.96,2036.9,ID103065597,CC #56,L,Closed,,CLOSED
263644.58,4662644.50,2094.2,ID103018452,CC #57,L,Closed,,CLOSED
264004.43,4662706.96,2036.9,ID103465332,CC #58,L,Closed,,CLOSED
263855.75,4662222.78,2113.2,ID103472994,CC #59,L,Closed,,CLOSED
264004.43,4662706.96,2036.9,ID103481719,CC #60,L,Closed,,CLOSED
263596.52,4661752.31,2171.7,ID103272476,CC #61,L,Closed,,CLOSED
332101.44,4659922.25,1733.8,ID103290109,PEP 7 FRACTION,L,Closed,,CLOSED
283255.34,4672263.61,2064.3,ID103522341,THUNDER MOUNTAIN #1,L,Closed,,CLOSED
254366.96,4655799.88,1569.5,ID103458109,GOLDEN #1,L,Closed,,CLOSED
255171.22,4655777.59,1526.9,ID103119039,GOLDEN #6,L,Closed,,CLOSED
255171.22,4655777.59,1526.9,ID103119244,GOLDEN #7,L,Closed,,CLOSED
255679.41,4655704.45,1619.0,ID103521658,GOLDEN #8,L,Closed,,CLOSED
256781.72,4655597.58,1645.2,ID103361508,GOLDEN #9,L,Closed,,CLOSED
254874.32,4656205.89,1520.8,ID103470382,GOLDEN #13,L,Closed,,CLOSED
255196.47,4656148.05,1561.2,ID103293624,GOLDEN #14,L,Closed,,CLOSED
255196.47,4656148.05,1561.2,ID103224605,GOLDEN #15,L,Closed,,CLOSED
255196.47,4656148.05,1561.2,ID103368974,GOLDEN #16,L,Closed,,CLOSED
255676.97,4656090.32,1580.9,ID103414990,GOLDEN #17,L,Closed,,CLOSED
254395.60,4656649.41,1509.4,ID103346529,GOLDEN #19,L,Closed,,CLOSED
254395.60,4656649.41,1509.4,ID103378621,GOLDEN #20,L,Closed,,CLOSED
