east,north,elev_m,tier,score,unit,age,area_km2,money,tier_name
282912.14,4666915.70,1678.1,3,49.5,Windermere Supergroup,,3.7,0,TIER 3 — EPITHERMAL HOST
301666.07,4651799.29,1792.3,3,49.2,Basalts,Pliocene,0.1,0,TIER 3 — EPITHERMAL HOST
258528.65,4665304.47,1581.2,3,48.9,"Older rhyolite, latite, and andesite",Miocene,48.7,0,TIER 3 — EPITHERMAL HOST
319351.38,4671578.86,1777.9,3,48.9,Sedimentary rocks associated with Basin and Range extension,Neogene,1.8,0,TIER 3 — EPITHERMAL HOST
321503.98,4653154.24,1730.4,3,48.4,Sedimentary rocks associated with Basin and Range extension,Neogene,4.1,0,TIER 3 — EPITHERMAL HOST
334259.27,4671856.75,1656.8,3,47.9,Sedimentary rocks associated with Basin and Range extension,Neogene,1.5,0,TIER 3 — EPITHERMAL HOST
285100.83,4655645.31,1655.8,3,47.8,"Older rhyolite, latite, and andesite",Miocene,4.3,0,TIER 3 — EPITHERMAL HOST
236299.22,4658576.97,1946.5,3,47.0,Sedimentary rocks associated with Basin and Range extension,Neogene,7.4,0,TIER 3 — EPITHERMAL HOST
324720.26,4702027.82,1531.1,3,46.2,Sedimentary rocks associated with Basin and Range extension,Neogene,34.7,0,TIER 3 — EPITHERMAL HOST
274438.67,4656795.03,1890.7,3,44.8,"Older rhyolite, latite, and andesite",Miocene,0.5,0,TIER 3 — EPITHERMAL HOST
285378.85,4675879.78,1943.8,3,42.8,Windermere Supergroup,,10.3,0,TIER 3 — EPITHERMAL HOST
